what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20110511-0800,"org.eclipse.team.cvs.ssh2",1516734546978
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1516734547058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734547430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734572813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734575822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734601973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734603424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734605073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734606038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734607375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734608505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734639042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734639113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734650198
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516734650397
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1516734651509
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1516734651509
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1516734651512
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1516734651513
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1516734651516
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1516734651517
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1516734651517
